season,station_number,valid_15z_date,MinT
Winter 2015,86338,2015-07-16,7.8
Winter 2015,14015,2015-07-16,16.9
Winter 2015,70351,2015-07-16,-0.5
Winter 2015,40913,2015-07-16,7.6
Winter 2015,94029,2015-07-16,1.3
Winter 2015,9225,2015-07-16,9.4
Winter 2015,66062,2015-07-17,6.2
Winter 2015,23090,2015-07-17,5.7
Winter 2015,86338,2015-07-17,7.3
Winter 2015,14015,2015-07-17,17.1
Winter 2015,70351,2015-07-17,4.2
Winter 2015,40913,2015-07-17,6.9
Winter 2015,94029,2015-07-17,2.3
Winter 2015,9225,2015-07-17,11.7
Winter 2015,66062,2015-07-18,7.6
Winter 2015,23090,2015-07-18,5.6
Winter 2015,86338,2015-07-18,6.1
Winter 2015,14015,2015-07-18,15.9
Winter 2015,70351,2015-07-18,-2.9
Winter 2015,40913,2015-07-18,6.9
Winter 2015,94029,2015-07-18,3.7
Winter 2015,9225,2015-07-18,12.6
Winter 2015,66062,2015-07-19,7.8
Winter 2015,23090,2015-07-19,2.2
Winter 2015,86338,2015-07-19,0.6
Winter 2015,14015,2015-07-19,15.6
Winter 2015,70351,2015-07-19,-5.1
Winter 2015,40913,2015-07-19,8.2
Winter 2015,94029,2015-07-19,0.4
Winter 2015,9225,2015-07-19,13.1
Winter 2015,66062,2015-07-20,7.8
Winter 2015,23090,2015-07-20,1.8
Winter 2015,86338,2015-07-20,1.8
Winter 2015,14015,2015-07-20,18.4
Winter 2015,70351,2015-07-20,
Winter 2015,40913,2015-07-20,11.7
Winter 2015,94029,2015-07-20,5.0
Winter 2015,9225,2015-07-20,13.6
Winter 2015,66062,2015-07-21,8.2
Winter 2015,23090,2015-07-21,7.8
Winter 2015,86338,2015-07-21,5.3
Winter 2015,14015,2015-07-21,18.5
Winter 2015,70351,2015-07-21,
Winter 2015,40913,2015-07-21,10.6
Winter 2015,94029,2015-07-21,2.6
Winter 2015,9225,2015-07-21,8.9
Winter 2015,66062,2015-07-22,11.1
Winter 2015,23090,2015-07-22,8.7
Winter 2015,86338,2015-07-22,12.0
Winter 2015,14015,2015-07-22,16.6
Winter 2015,70351,2015-07-22,0.2
Winter 2015,40913,2015-07-22,10.1
Winter 2015,94029,2015-07-22,11.2
Winter 2015,9225,2015-07-22,7.3
Winter 2015,66062,2015-07-23,11.2
Winter 2015,23090,2015-07-23,3.3
Winter 2015,86338,2015-07-23,5.1
Winter 2015,14015,2015-07-23,16.2
Winter 2015,70351,2015-07-23,5.4
Winter 2015,40913,2015-07-23,14.5
Winter 2015,94029,2015-07-23,7.8
Winter 2015,9225,2015-07-23,10.3
Winter 2015,66062,2015-07-24,11.6
Winter 2015,23090,2015-07-24,9.9
Winter 2015,86338,2015-07-24,8.6
Winter 2015,14015,2015-07-24,18.4
Winter 2015,70351,2015-07-24,0.5
Winter 2015,40913,2015-07-24,14.1
Winter 2015,94029,2015-07-24,4.4
Winter 2015,9225,2015-07-24,2.2
Winter 2015,66062,2015-07-25,10.8
Winter 2015,23090,2015-07-25,9.3
Winter 2015,86338,2015-07-25,9.4
Winter 2015,14015,2015-07-25,19.9
Winter 2015,70351,2015-07-25,6.0
Winter 2015,40913,2015-07-25,16.5
Winter 2015,94029,2015-07-25,5.4
Winter 2015,9225,2015-07-25,8.7
Winter 2015,66062,2015-07-26,11.0
Winter 2015,23090,2015-07-26,7.8
Winter 2015,86338,2015-07-26,8.1
Winter 2015,14015,2015-07-26,21.1
Winter 2015,70351,2015-07-26,6.5
