season,station_number,valid_15z_date,lead_day,MinT,abs_err
Winter 2015,14015,2015-06-20,1,19.8,0.10000000000000142
Winter 2015,14015,2015-06-21,1,19.0,0.8999999999999986
Winter 2015,14015,2015-06-22,1,18.0,0.8999999999999986
Winter 2015,14015,2015-06-23,1,18.8,1.4000000000000021
Winter 2015,14015,2015-06-24,1,19.0,0.8999999999999986
Winter 2015,14015,2015-06-25,1,21.0,0.8999999999999986
Winter 2015,14015,2015-06-26,1,18.8,0.5
Winter 2015,14015,2015-06-27,1,18.1,1.1999999999999993
Winter 2015,14015,2015-06-28,1,18.8,0.6999999999999993
Winter 2015,14015,2015-06-29,1,18.9,1.3999999999999986
Winter 2015,14015,2015-06-30,1,18.1,0.1999999999999993
Winter 2015,14015,2015-07-01,1,19.4,0.09999999999999787
Winter 2015,14015,2015-07-02,1,20.5,2.1000000000000014
Winter 2015,14015,2015-07-03,1,20.4,1.2000000000000028
Winter 2015,14015,2015-07-04,1,18.0,0.10000000000000142
Winter 2015,14015,2015-07-05,1,17.9,1.6999999999999993
Winter 2015,14015,2015-07-06,1,17.9,1.7000000000000028
Winter 2015,14015,2015-07-07,1,19.3,2.6999999999999993
Winter 2015,14015,2015-07-08,1,20.0,1.1999999999999993
Winter 2015,14015,2015-07-09,1,19.8,0.6999999999999993
Winter 2015,14015,2015-07-10,1,,
Winter 2015,14015,2015-07-11,1,19.5,0.3000000000000007
Winter 2015,14015,2015-07-12,1,19.4,0.7999999999999972
Winter 2015,14015,2015-07-13,1,18.1,0.29999999999999716
Winter 2015,14015,2015-07-14,1,16.0,1.1999999999999993
Winter 2015,14015,2015-07-15,1,14.3,2.099999999999998
Winter 2015,14015,2015-07-16,1,15.6,1.299999999999999
Winter 2015,14015,2015-07-17,1,16.6,0.5
Winter 2015,14015,2015-07-18,1,16.6,0.7000000000000011
Winter 2015,14015,2015-07-19,1,16.9,1.299999999999999
Winter 2015,14015,2015-07-20,1,18.2,0.1999999999999993
Winter 2015,14015,2015-07-21,1,18.2,0.3000000000000007
Winter 2015,14015,2015-07-22,1,17.7,1.0999999999999979
Winter 2015,14015,2015-07-23,1,18.4,2.1999999999999993
Winter 2015,14015,2015-07-24,1,17.0,1.3999999999999986
Winter 2015,14015,2015-07-25,1,19.8,0.09999999999999787
Winter 2015,14015,2015-07-26,1,20.1,1.0
Winter 2015,14015,2015-07-27,1,21.0,2.8999999999999986
Winter 2015,14015,2015-07-28,1,21.6,1.0
Winter 2015,14015,2015-07-29,1,20.5,0.1999999999999993
Winter 2015,14015,2015-07-30,1,20.3,0.10000000000000142
Winter 2015,14015,2015-07-31,1,19.8,1.0
Winter 2015,14015,2015-08-01,1,20.3,0.5999999999999979
Winter 2015,14015,2015-08-02,1,20.2,2.3000000000000007
Winter 2015,14015,2015-08-03,1,20.2,0.3000000000000007
Winter 2015,14015,2015-08-04,1,19.2,0.5
Winter 2015,14015,2015-08-05,1,17.4,0.09999999999999787
Winter 2015,14015,2015-08-06,1,17.1,0.0
Winter 2015,14015,2015-08-07,1,18.0,0.5
Winter 2015,14015,2015-08-08,1,19.1,2.0
Winter 2015,14015,2015-08-09,1,20.0,0.1999999999999993
Winter 2015,14015,2015-08-10,1,,
Winter 2015,14015,2015-08-11,1,19.1,0.3999999999999986
Winter 2015,14015,2015-08-12,1,19.8,0.9000000000000021
Winter 2015,14015,2015-08-13,1,19.1,1.2999999999999972
Winter 2015,14015,2015-08-14,1,19.0,1.1000000000000014
Winter 2015,14015,2015-08-15,1,18.0,0.10000000000000142
Winter 2015,14015,2015-08-16,1,18.9,1.5
Winter 2015,14015,2015-08-17,1,17.4,1.2999999999999972
Winter 2015,14015,2015-08-18,1,16.4,0.09999999999999787
Winter 2015,14015,2015-08-19,1,17.4,1.1999999999999993
Winter 2015,14015,2015-08-20,1,18.4,1.1999999999999993
Winter 2015,14015,2015-08-21,1,19.1,1.2999999999999972
Winter 2015,14015,2015-08-22,1,19.8,0.8000000000000007
Winter 2015,14015,2015-08-23,1,20.6,0.09999999999999787
Winter 2015,14015,2015-08-24,1,20.6,1.0
Winter 2015,14015,2015-08-25,1,,
Winter 2015,14015,2015-08-26,1,20.5,2.6000000000000014
Winter 2015,14015,2015-08-27,1,22.0,1.3999999999999986
Winter 2015,14015,2015-08-28,1,21.4,0.5
Winter 2015,14015,2015-08-29,1,20.9,0.8000000000000007
Winter 2015,14015,2015-08-30,1,21.2,0.8000000000000007
Winter 2015,14015,2015-08-31,1,21.1,1.5
Winter 2015,70351,2015-06-01,1,-0.3,
Winter 2015,70351,2015-06-02,1,-4.8,2.2
Winter 2015,70351,2015-06-03,1,-6.1,1.0
Winter 2015,70351,2015-06-04,1,-4.6,
Winter 2015,70351,2015-06-05,1,-1.3,4.6
Winter 2015,70351,2015-06-06,1,-4.1,
Winter 2015,70351,2015-06-07,1,-2.0,
Winter 2015,70351,2015-06-08,1,2.3,2.1999999999999997
Winter 2015,70351,2015-06-09,1,4.4,3.3999999999999995
Winter 2015,70351,2015-06-10,1,-2.0,1.2999999999999998
Winter 2015,70351,2015-06-11,1,-3.7,0.6000000000000001
Winter 2015,70351,2015-06-12,1,-3.7,
Winter 2015,70351,2015-06-13,1,-0.1,
Winter 2015,70351,2015-06-14,1,-2.5,
Winter 2015,70351,2015-06-15,1,0.4,0.6000000000000001
Winter 2015,70351,2015-06-16,1,5.4,4.4
Winter 2015,70351,2015-06-17,1,7.8,2.500000000000001
Winter 2015,70351,2015-06-18,1,4.4,0.20000000000000018
Winter 2015,70351,2015-06-19,1,3.7,1.5
Winter 2015,70351,2015-06-20,1,-3.1,0.5
Winter 2015,70351,2015-06-21,1,-4.7,
Winter 2015,70351,2015-06-22,1,-4.5,
Winter 2015,70351,2015-06-23,1,-1.1,
Winter 2015,70351,2015-06-24,1,4.9,1.4000000000000004
Winter 2015,70351,2015-06-25,1,3.8,2.6999999999999997
Winter 2015,70351,2015-06-26,1,-0.8,0.09999999999999998
Winter 2015,70351,2015-06-27,1,-1.6,
Winter 2015,70351,2015-06-28,1,-2.0,2.2
Winter 2015,70351,2015-06-29,1,-1.7,0.7999999999999999
Winter 2015,70351,2015-06-30,1,-2.4,0.3999999999999999
Winter 2015,70351,2015-07-01,1,-1.5,
Winter 2015,70351,2015-07-02,1,-2.6,1.8
Winter 2015,70351,2015-07-03,1,-6.3,0.7000000000000002
Winter 2015,70351,2015-07-04,1,-6.0,
Winter 2015,70351,2015-07-05,1,-5.0,
Winter 2015,70351,2015-07-06,1,-3.0,0.6000000000000001
Winter 2015,70351,2015-07-07,1,-2.6,
Winter 2015,70351,2015-07-08,1,-3.2,0.20000000000000018
Winter 2015,70351,2015-07-09,1,-2.7,1.4000000000000001
Winter 2015,70351,2015-07-10,1,-0.3,0.2
Winter 2015,70351,2015-07-11,1,3.6,0.0
Winter 2015,70351,2015-07-12,1,-0.9,4.0
Winter 2015,70351,2015-07-13,1,-1.3,4.9
Winter 2015,70351,2015-07-14,1,-0.4,4.5
Winter 2015,70351,2015-07-15,1,-1.0,2.1
Winter 2015,70351,2015-07-16,1,1.1,1.6
Winter 2015,70351,2015-07-17,1,2.9,1.3000000000000003
Winter 2015,70351,2015-07-18,1,-1.2,1.7
Winter 2015,70351,2015-07-19,1,-3.7,1.3999999999999995
Winter 2015,70351,2015-07-20,1,-3.6,
Winter 2015,70351,2015-07-21,1,-2.4,
Winter 2015,70351,2015-07-22,1,1.5,1.3
Winter 2015,70351,2015-07-23,1,0.8,4.6000000000000005
Winter 2015,70351,2015-07-24,1,2.3,1.7999999999999998
Winter 2015,70351,2015-07-25,1,2.5,3.5
Winter 2015,70351,2015-07-26,1,2.6,3.9
Winter 2015,70351,2015-07-27,1,-2.7,4.1
Winter 2015,70351,2015-07-28,1,,
Winter 2015,70351,2015-07-29,1,-3.3,
Winter 2015,70351,2015-07-30,1,-0.6,1.9
Winter 2015,70351,2015-07-31,1,0.9,1.5
Winter 2015,70351,2015-08-01,1,4.5,2.2
Winter 2015,70351,2015-08-02,1,4.1,3.3000000000000007
Winter 2015,70351,2015-08-03,1,0.2,3.5999999999999996
Winter 2015,70351,2015-08-04,1,-6.1,
Winter 2015,70351,2015-08-05,1,-2.3,3.8
Winter 2015,70351,2015-08-06,1,-3.2,3.1
Winter 2015,70351,2015-08-07,1,-1.2,
Winter 2015,70351,2015-08-08,1,-0.1,
Winter 2015,70351,2015-08-09,1,-0.8,
Winter 2015,70351,2015-08-10,1,1.2,2.5999999999999996
Winter 2015,70351,2015-08-11,1,2.2,0.8999999999999999
Winter 2015,70351,2015-08-12,1,-0.4,
Winter 2015,70351,2015-08-13,1,-0.4,0.9
Winter 2015,70351,2015-08-14,1,0.1,2.9
Winter 2015,70351,2015-08-15,1,-0.5,
Winter 2015,70351,2015-08-16,1,1.2,0.7
Winter 2015,70351,2015-08-17,1,2.8,0.5
Winter 2015,70351,2015-08-18,1,-3.8,0.2999999999999998
Winter 2015,70351,2015-08-19,1,-3.5,0.2999999999999998
Winter 2015,70351,2015-08-20,1,-2.5,
Winter 2015,70351,2015-08-21,1,-0.7,1.8
Winter 2015,70351,2015-08-22,1,6.0,3.3
Winter 2015,70351,2015-08-23,1,6.3,4.3999999999999995
Winter 2015,70351,2015-08-24,1,5.9,1.5
Winter 2015,70351,2015-08-25,1,5.5,1.0
Winter 2015,70351,2015-08-26,1,4.3,3.1000000000000005
Winter 2015,70351,2015-08-27,1,4.5,2.0999999999999996
Winter 2015,70351,2015-08-28,1,3.1,2.4999999999999996
Winter 2015,70351,2015-08-29,1,0.1,3.9
Winter 2015,70351,2015-08-30,1,-1.2,1.7
Winter 2015,70351,2015-08-31,1,-1.5,1.5
Winter 2015,40913,2015-06-01,1,16.4,1.8000000000000007
Winter 2015,40913,2015-06-02,1,9.0,0.0
